"","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"59",59,59,59,116,1,2,18,"19:00",1083,2,"NB_MID",1,"North",468,0,NA,15073,9,460
"60",60,60,60,117,1,2,18,"19:00",1083,3,"NB_OS",1,"North",412,0,NA,15620,10,406
"61",61,61,61,121,1,2,18,"20:00",1083,1,"NB_NS",1,"North",380,0,NA,14934,32,358
"62",62,62,62,122,1,2,18,"20:00",1083,2,"NB_MID",1,"North",379,0,NA,15723,24,366
"63",63,63,63,123,1,2,18,"20:00",1083,3,"NB_OS",1,"North",293,0,NA,15966,3,292
"64",64,64,64,127,1,2,18,"21:00",1083,1,"NB_NS",1,"North",259,0,NA,14826,15,250
"65",65,65,65,128,1,2,18,"21:00",1083,2,"NB_MID",1,"North",289,0,NA,15996,7,285
"66",66,66,66,129,1,2,18,"21:00",1083,3,"NB_OS",1,"North",166,0,NA,16884,12,164
"67",67,67,67,133,1,2,18,"22:00",1083,1,"NB_NS",1,"North",181,0,NA,15327,33,170
"68",68,68,68,134,1,2,18,"22:00",1083,2,"NB_MID",1,"North",206,0,NA,15848,10,204
"69",69,69,69,135,1,2,18,"22:00",1083,3,"NB_OS",1,"North",120,0,NA,16572,25,117
"70",70,70,70,139,1,2,18,"23:00",1083,1,"NB_NS",1,"North",116,0,NA,15802,43,108
"71",71,71,71,140,1,2,18,"23:00",1083,2,"NB_MID",1,"North",140,0,NA,16542,36,131
"72",72,72,72,141,1,2,18,"23:00",1083,3,"NB_OS",1,"North",58,0,NA,17649,0,57
"73",73,73,73,145,2,2,18,"00:00",1083,1,"NB_NS",1,"North",54,0,NA,16533,74,49
"74",74,74,74,146,2,2,18,"00:00",1083,2,"NB_MID",1,"North",127,0,NA,16168,16,124
"75",75,75,75,147,2,2,18,"00:00",1083,3,"NB_OS",1,"North",31,0,NA,16962,0,31
"76",76,76,76,151,2,2,18,"01:00",1083,1,"NB_NS",1,"North",42,0,NA,15807,71,37
"77",77,77,77,152,2,2,18,"01:00",1083,2,"NB_MID",1,"North",69,0,NA,16457,29,67
"78",78,78,78,153,2,2,18,"01:00",1083,3,"NB_OS",1,"North",19,0,NA,17354,0,19
"79",79,79,79,157,2,2,18,"02:00",1083,1,"NB_NS",1,"North",21,0,NA,15225,0,21
"80",80,80,80,158,2,2,18,"02:00",1083,2,"NB_MID",1,"North",46,0,NA,17228,22,45
"81",81,81,81,159,2,2,18,"02:00",1083,3,"NB_OS",1,"North",9,0,NA,16173,0,9
"82",82,82,82,163,2,2,18,"03:00",1083,1,"NB_NS",1,"North",28,0,NA,16389,0,28
"83",83,83,83,164,2,2,18,"03:00",1083,2,"NB_MID",1,"North",39,0,NA,16574,51,37
"84",84,84,84,165,2,2,18,"03:00",1083,3,"NB_OS",1,"North",9,0,NA,18086,0,9
"85",85,85,85,169,2,2,18,"04:00",1083,1,"NB_NS",1,"North",48,0,NA,16852,21,47
"86",86,86,86,170,2,2,18,"04:00",1083,2,"NB_MID",1,"North",42,0,NA,16468,24,41
"87",87,87,87,171,2,2,18,"04:00",1083,3,"NB_OS",1,"North",16,0,NA,16979,0,16
"88",88,88,88,175,2,2,18,"05:00",1083,1,"NB_NS",1,"North",158,0,NA,16384,38,147
"89",89,89,89,176,2,2,18,"05:00",1083,2,"NB_MID",1,"North",141,0,NA,16791,85,129
"90",90,90,90,177,2,2,18,"05:00",1083,3,"NB_OS",1,"North",59,0,NA,18056,51,56
